,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Month,Day,Hour,Sales,Frequency,total_product_purchases,category,sub_category,full_categ
683,C571127,35970,zinc folkart sleigh bells,-36.0,2011-10-14 10:01:00,1.69,12583.0,France,10,14,10,-60.839999999999996,17,0.0,zinc,folkart,folkart zinc
699,C568244,23169,classic glass cookie jar,-1.0,2011-09-26 12:21:00,4.15,12583.0,France,9,26,12,-4.15,17,5.0,glass,jar,jar glass
770,C537656,21258,victorian sewing box large,-12.0,2010-12-07 16:21:00,10.95,15100.0,United Kingdom,12,7,16,-131.39999999999998,6,58.0,box,other,other box
772,C539260,21258,victorian sewing box large,-7.0,2010-12-16 14:32:00,10.95,15100.0,United Kingdom,12,16,14,-76.64999999999999,6,58.0,box,other,other box
774,C541117,21258,victorian sewing box large,-3.0,2011-01-13 17:09:00,10.95,15100.0,United Kingdom,1,13,17,-32.849999999999994,6,58.0,box,other,other box
782,C547235,82486,wood s3 cabinet ant white finish,-2.0,2011-03-21 16:25:00,8.95,15291.0,United Kingdom,3,21,16,-17.9,19,82.0,wood,cabinet,cabinet wood
801,C541503,22170,picture frame wood triple portrait,-1.0,2011-01-18 15:31:00,6.75,15291.0,United Kingdom,1,18,15,-6.75,19,7.0,frame,wood,wood frame
830,C541964,84849d,hot baths soap holder,-21.0,2011-01-24 13:13:00,1.69,15291.0,United Kingdom,1,24,13,-35.49,19,-21.0,holder,soap,soap holder
839,C547231,22173,metal 4 hook hanger french chateau,-1.0,2011-03-21 16:07:00,2.95,15291.0,United Kingdom,3,21,16,-2.95,19,7.0,metal,hook,hook metal
856,C557520,22784,lantern cream gazebo,-1.0,2011-06-20 17:18:00,4.95,15291.0,United Kingdom,6,20,17,-4.95,19,29.0,cream,lantern,lantern cream
866,C557520,21668,red stripe ceramic drawer knob,-3.0,2011-06-20 17:18:00,1.25,15291.0,United Kingdom,6,20,17,-3.75,19,129.0,drawer,knob,knob drawer
897,C566467,20723,strawberry charlotte bag,-20.0,2011-09-12 18:04:00,0.85,14688.0,United Kingdom,9,12,18,-17.0,27,14.0,bag,strawberry,strawberry bag
904,C566467,20725,lunch bag red retrospot,-9.0,2011-09-12 18:04:00,1.65,14688.0,United Kingdom,9,12,18,-14.85,27,11.0,bag,retrospot,retrospot bag
909,C542635,21212,pack of 72 retrospot cake cases,-2.0,2011-01-31 10:43:00,0.42,14688.0,United Kingdom,1,31,10,-0.84,27,125.0,retrospot,cake,cake retrospot
911,C566467,21212,pack of 72 retrospot cake cases,-17.0,2011-09-12 18:04:00,0.55,14688.0,United Kingdom,9,12,18,-9.350000000000001,27,125.0,retrospot,cake,cake retrospot
916,C542635,21977,pack of 60 pink paisley cake cases,-1.0,2011-01-31 10:43:00,0.55,14688.0,United Kingdom,1,31,10,-0.55,27,23.0,cake,pack,pack cake
918,C566467,84991,60 teatime fairy cake cases,-27.0,2011-09-12 18:04:00,0.55,14688.0,United Kingdom,9,12,18,-14.850000000000001,27,-3.0,cake,fairy,fairy cake
926,C566467,21931,jumbo storage bag suki,-11.0,2011-09-12 18:04:00,2.08,14688.0,United Kingdom,9,12,18,-22.880000000000003,27,14.0,bag,storage,storage bag
942,C571637,22379,recycling bag retrospot,-39.0,2011-10-18 11:55:00,1.85,14688.0,United Kingdom,10,18,11,-72.15,27,332.0,bag,retrospot,retrospot bag
944,C580180,22379,recycling bag retrospot,-8.0,2011-12-02 12:00:00,1.85,14688.0,United Kingdom,12,2,12,-14.8,27,332.0,bag,retrospot,retrospot bag
950,C571637,22381,toy tidy pink polkadot,-1.0,2011-10-18 11:55:00,1.85,14688.0,United Kingdom,10,18,11,-1.85,27,218.0,polkadot,toy,toy polkadot
953,C580180,22381,toy tidy pink polkadot,-1.0,2011-12-02 12:00:00,2.1,14688.0,United Kingdom,12,2,12,-2.1,27,218.0,polkadot,toy,toy polkadot
958,C566467,85099b,jumbo bag red retrospot,-10.0,2011-09-12 18:04:00,2.08,14688.0,United Kingdom,9,12,18,-20.8,27,14.0,bag,retrospot,retrospot bag
966,C542637,22667,recipe box retrospot,-6.0,2011-01-31 10:44:00,2.95,14688.0,United Kingdom,1,31,10,-17.700000000000003,27,0.0,box,retrospot,retrospot box
1034,C566467,22380,toy tidy spaceboy,-6.0,2011-09-12 18:04:00,2.1,14688.0,United Kingdom,9,12,18,-12.600000000000001,27,29.0,spaceboy,toy,toy spaceboy
1040,C566467,22356,charlotte bag pink polkadot,-20.0,2011-09-12 18:04:00,0.85,14688.0,United Kingdom,9,12,18,-17.0,27,40.0,bag,polkadot,polkadot bag
1048,C566467,22197,popcorn holder,-14.0,2011-09-12 18:04:00,0.85,14688.0,United Kingdom,9,12,18,-11.9,27,41.0,holder,popcorn,popcorn holder
1052,C566467,20724,red retrospot charlotte bag,-32.0,2011-09-12 18:04:00,0.85,14688.0,United Kingdom,9,12,18,-27.2,27,8.0,bag,retrospot,retrospot bag
1056,C566467,20719,woodland charlotte bag,-14.0,2011-09-12 18:04:00,0.85,14688.0,United Kingdom,9,12,18,-11.9,27,12.0,bag,woodland,woodland bag
1062,C566467,22355,charlotte bag suki design,-14.0,2011-09-12 18:04:00,0.85,14688.0,United Kingdom,9,12,18,-11.9,27,40.0,bag,charlotte,charlotte bag
1073,C566467,22998,travel card wallet keep calm,-36.0,2011-09-12 18:04:00,0.42,14688.0,United Kingdom,9,12,18,-15.12,27,12.0,card,travel,travel card
1149,C566467,23298,spotty bunting,-8.0,2011-09-12 18:04:00,4.95,14688.0,United Kingdom,9,12,18,-39.6,27,2.0,bunting,other,other bunting
1153,C566467,23204,charlotte bag apples design,-19.0,2011-09-12 18:04:00,0.85,14688.0,United Kingdom,9,12,18,-16.15,27,21.0,bag,charlotte,charlotte bag
1158,C566467,23205,charlotte bag vintage alphabet,-15.0,2011-09-12 18:04:00,0.85,14688.0,United Kingdom,9,12,18,-12.75,27,15.0,vintage,bag,bag vintage
1169,C566467,23199,jumbo bag apples,-14.0,2011-09-12 18:04:00,2.08,14688.0,United Kingdom,9,12,18,-29.12,27,6.0,bag,other,other bag
1172,C566467,23201,jumbo bag alphabet,-7.0,2011-09-12 18:04:00,2.08,14688.0,United Kingdom,9,12,18,-14.56,27,8.0,bag,alphabet,alphabet bag
1180,C566467,22384,lunch bag pink polkadot,-14.0,2011-09-12 18:04:00,1.65,14688.0,United Kingdom,9,12,18,-23.099999999999998,27,6.0,bag,polkadot,polkadot bag
1182,C566467,20728,lunch bag cars blue,-9.0,2011-09-12 18:04:00,1.65,14688.0,United Kingdom,9,12,18,-14.85,27,2.0,bag,lunch,lunch bag
1188,C566467,23321,small white heart of wicker,-5.0,2011-09-12 18:04:00,1.65,14688.0,United Kingdom,9,12,18,-8.25,27,20.0,heart,wicker,wicker heart
1190,C566011,23080,red metal box top secret,-1.0,2011-09-08 12:11:00,8.25,14688.0,United Kingdom,9,8,12,-8.25,27,1.0,box,metal,metal box
1192,C566467,85099f,jumbo bag strawberry,-14.0,2011-09-12 18:04:00,2.08,14688.0,United Kingdom,9,12,18,-29.12,27,-4.0,bag,strawberry,strawberry bag
1201,C571637,23348,childrens toy cooking utensil set,-2.0,2011-10-18 11:55:00,2.08,14688.0,United Kingdom,10,18,11,-4.16,27,31.0,toy,utensil,utensil toy
1204,C580180,23348,childrens toy cooking utensil set,-3.0,2011-12-02 12:00:00,2.08,14688.0,United Kingdom,12,2,12,-6.24,27,31.0,toy,utensil,utensil toy
1269,C558060,22988,soldiers egg cup,-1.0,2011-06-24 15:05:00,1.06,17809.0,United Kingdom,6,24,15,-1.06,14,71.0,egg,cup,cup egg
1302,C578257,23300,gardeners kneeling pad cup of tea,-40.0,2011-11-23 13:00:00,1.65,17809.0,United Kingdom,11,23,13,-66.0,14,96.0,tea,cup,cup tea
1337,C570203,22411,jumbo shopper vintage red paisley,-4.0,2011-10-07 16:49:00,1.79,15311.0,United Kingdom,10,7,16,-7.16,118,941.0,vintage,paisley,paisley vintage
1339,C573864,22411,jumbo shopper vintage red paisley,-1.0,2011-11-01 11:55:00,1.79,15311.0,United Kingdom,11,1,11,-1.79,118,941.0,vintage,paisley,paisley vintage
1342,C576561,22411,jumbo shopper vintage red paisley,-2.0,2011-11-15 13:22:00,1.79,15311.0,United Kingdom,11,15,13,-3.58,118,941.0,vintage,paisley,paisley vintage
1364,C539640,22774,red drawer knob acrylic edwardian,-1.0,2010-12-20 15:27:00,1.06,15311.0,United Kingdom,12,20,15,-1.06,118,707.0,drawer,knob,knob drawer
1576,C538650,22646,ceramic strawberry cake money bank,-1.0,2010-12-13 15:05:00,1.25,15311.0,United Kingdom,12,13,15,-1.25,118,80.0,cake,strawberry,strawberry cake
1578,C553687,22646,ceramic strawberry cake money bank,-1.0,2011-05-18 14:01:00,1.25,15311.0,United Kingdom,5,18,14,-1.25,118,80.0,cake,strawberry,strawberry cake
1608,C538650,22778,glass cloche small,-1.0,2010-12-13 15:05:00,3.95,15311.0,United Kingdom,12,13,15,-3.95,118,179.0,glass,cloche,cloche glass
1611,C541573,22778,glass cloche small,-4.0,2011-01-19 12:47:00,3.39,15311.0,United Kingdom,1,19,12,-13.56,118,179.0,glass,cloche,cloche glass
1612,C542032,22778,glass cloche small,-7.0,2011-01-25 11:45:00,3.39,15311.0,United Kingdom,1,25,11,-23.73,118,179.0,glass,cloche,cloche glass
1614,C545650,22778,glass cloche small,-6.0,2011-03-04 13:14:00,3.39,15311.0,United Kingdom,3,4,13,-20.34,118,179.0,glass,cloche,cloche glass
1617,C553687,22778,glass cloche small,-2.0,2011-05-18 14:01:00,3.39,15311.0,United Kingdom,5,18,14,-6.78,118,179.0,glass,cloche,cloche glass
1619,C557224,22778,glass cloche small,-5.0,2011-06-17 13:22:00,3.39,15311.0,United Kingdom,6,17,13,-16.95,118,179.0,glass,cloche,cloche glass
1620,C558444,22778,glass cloche small,-1.0,2011-06-29 13:29:00,3.39,15311.0,United Kingdom,6,29,13,-3.39,118,179.0,glass,cloche,cloche glass
1622,C563655,22778,glass cloche small,-24.0,2011-08-18 10:44:00,3.39,15311.0,United Kingdom,8,18,10,-81.36,118,179.0,glass,cloche,cloche glass
1623,C570203,22778,glass cloche small,-1.0,2011-10-07 16:49:00,3.39,15311.0,United Kingdom,10,7,16,-3.39,118,179.0,glass,cloche,cloche glass
1625,C576561,22778,glass cloche small,-3.0,2011-11-15 13:22:00,3.39,15311.0,United Kingdom,11,15,13,-10.17,118,179.0,glass,cloche,cloche glass
1627,C537805,22719,gumball monochrome coat rack,-3.0,2010-12-08 13:18:00,1.06,15311.0,United Kingdom,12,8,13,-3.18,118,209.0,rack,coat,coat rack
1633,C551841,22719,gumball monochrome coat rack,-4.0,2011-05-04 13:40:00,1.06,15311.0,United Kingdom,5,4,13,-4.24,118,209.0,rack,coat,coat rack
1640,C536383,35004c,set of 3 coloured  flying ducks,-1.0,2010-12-01 09:49:00,4.65,15311.0,United Kingdom,12,1,9,-4.65,118,41.0,other,other,other other
1642,C537805,35004c,set of 3 coloured  flying ducks,-1.0,2010-12-08 13:18:00,4.65,15311.0,United Kingdom,12,8,13,-4.65,118,41.0,other,other,other other
1644,C539640,35004c,set of 3 coloured  flying ducks,-3.0,2010-12-20 15:27:00,4.65,15311.0,United Kingdom,12,20,15,-13.950000000000001,118,41.0,other,other,other other
1647,C542866,35004c,set of 3 coloured  flying ducks,-2.0,2011-02-01 12:14:00,4.65,15311.0,United Kingdom,2,1,12,-9.3,118,41.0,other,other,other other
1676,C558444,21033,jumbo bag charlie and lola toys,-1.0,2011-06-29 13:29:00,1.79,15311.0,United Kingdom,6,29,13,-1.79,118,209.0,bag,charlie,charlie bag
1769,C538650,21258,victorian sewing box large,-1.0,2010-12-13 15:05:00,10.95,15311.0,United Kingdom,12,13,15,-10.95,118,46.0,box,other,other box
1774,C580886,21258,victorian sewing box large,-5.0,2011-12-06 12:25:00,10.95,15311.0,United Kingdom,12,6,12,-54.75,118,46.0,box,other,other box
1776,C581568,21258,victorian sewing box large,-5.0,2011-12-09 11:57:00,10.95,15311.0,United Kingdom,12,9,11,-54.75,118,46.0,box,other,other box
1789,C562097,37449,ceramic cake stand  hanging cakes,-2.0,2011-08-02 13:19:00,8.5,15311.0,United Kingdom,8,2,13,-17.0,118,14.0,cake,stand,stand cake
1790,C537805,40001,white bamboo ribs lampshade,-2.0,2010-12-08 13:18:00,0.64,15311.0,United Kingdom,12,8,13,-1.28,118,222.0,lampshade,bamboo,bamboo lampshade
1793,C545650,40001,white bamboo ribs lampshade,-1.0,2011-03-04 13:14:00,0.64,15311.0,United Kingdom,3,4,13,-0.64,118,222.0,lampshade,bamboo,bamboo lampshade
1794,C550494,40001,white bamboo ribs lampshade,-2.0,2011-04-18 14:54:00,0.64,15311.0,United Kingdom,4,18,14,-1.28,118,222.0,lampshade,bamboo,bamboo lampshade
1796,C558444,40001,white bamboo ribs lampshade,-2.0,2011-06-29 13:29:00,0.64,15311.0,United Kingdom,6,29,13,-1.28,118,222.0,lampshade,bamboo,bamboo lampshade
1797,C565305,40001,white bamboo ribs lampshade,-9.0,2011-09-02 12:18:00,0.64,15311.0,United Kingdom,9,2,12,-5.76,118,222.0,lampshade,bamboo,bamboo lampshade
1798,C570203,40001,white bamboo ribs lampshade,-3.0,2011-10-07 16:49:00,0.64,15311.0,United Kingdom,10,7,16,-1.92,118,222.0,lampshade,bamboo,bamboo lampshade
1799,C537805,85047,white beaded garland string 20light,-1.0,2010-12-08 13:18:00,5.55,15311.0,United Kingdom,12,8,13,-5.55,118,-1.0,garland,string,string garland
1800,C537805,20798,clear milkshake glass,-4.0,2010-12-08 13:18:00,1.65,15311.0,United Kingdom,12,8,13,-6.6,118,-4.0,glass,milkshake,milkshake glass
1801,C537805,22198,large popcorn holder,-1.0,2010-12-08 13:18:00,1.45,15311.0,United Kingdom,12,8,13,-1.45,118,49.0,holder,popcorn,popcorn holder
1803,C537805,22197,popcorn holder,-1.0,2010-12-08 13:18:00,0.72,15311.0,United Kingdom,12,8,13,-0.72,118,298.0,holder,popcorn,popcorn holder
1806,C562097,22197,popcorn holder,-1.0,2011-08-02 13:19:00,0.72,15311.0,United Kingdom,8,2,13,-0.72,118,298.0,holder,popcorn,popcorn holder
1808,C537805,20829,glitter hanging butterfly string,-1.0,2010-12-08 13:18:00,2.1,15311.0,United Kingdom,12,8,13,-2.1,118,97.0,butterfly,hanging,hanging butterfly
1811,C539640,20829,glitter hanging butterfly string,-2.0,2010-12-20 15:27:00,2.1,15311.0,United Kingdom,12,20,15,-4.2,118,97.0,butterfly,hanging,hanging butterfly
1820,C550494,20829,glitter hanging butterfly string,-1.0,2011-04-18 14:54:00,1.69,15311.0,United Kingdom,4,18,14,-1.69,118,97.0,butterfly,hanging,hanging butterfly
1835,C537805,22571,rocking horse red christmas,-1.0,2010-12-08 13:18:00,0.85,15311.0,United Kingdom,12,8,13,-0.85,118,41.0,christmas,horse,horse christmas
1929,C557224,84978,hanging heart jar tlight holder,-2.0,2011-06-17 13:22:00,1.06,15311.0,United Kingdom,6,17,13,-2.12,118,393.0,heart,holder,holder heart
1930,C558444,84978,hanging heart jar tlight holder,-1.0,2011-06-29 13:29:00,1.06,15311.0,United Kingdom,6,29,13,-1.06,118,393.0,heart,holder,holder heart
1980,C576561,21559,strawberry lunch box with cutlery,-1.0,2011-11-15 13:22:00,2.1,15311.0,United Kingdom,11,15,13,-2.1,118,249.0,box,lunch,lunch box
2030,C563655,22844,vintage cream dog food container,-12.0,2011-08-18 10:44:00,7.65,15311.0,United Kingdom,8,18,10,-91.80000000000001,118,52.0,vintage,cream,cream vintage
2037,C576561,22845,vintage cream cat food container,-1.0,2011-11-15 13:22:00,5.55,15311.0,United Kingdom,11,15,13,-5.55,118,19.0,vintage,cream,cream vintage
2074,C539640,21668,red stripe ceramic drawer knob,-1.0,2010-12-20 15:27:00,1.06,15311.0,United Kingdom,12,20,15,-1.06,118,494.0,drawer,knob,knob drawer
2177,C553687,85099b,jumbo bag red retrospot,-1.0,2011-05-18 14:01:00,1.79,15311.0,United Kingdom,5,18,14,-1.79,118,1206.0,bag,retrospot,retrospot bag
2180,C557224,85099b,jumbo bag red retrospot,-5.0,2011-06-17 13:22:00,1.79,15311.0,United Kingdom,6,17,13,-8.95,118,1206.0,bag,retrospot,retrospot bag
2182,C558444,85099b,jumbo bag red retrospot,-1.0,2011-06-29 13:29:00,1.76,15311.0,United Kingdom,6,29,13,-1.76,118,1206.0,bag,retrospot,retrospot bag
2184,C562097,85099b,jumbo bag red retrospot,-1.0,2011-08-02 13:19:00,1.79,15311.0,United Kingdom,8,2,13,-1.79,118,1206.0,bag,retrospot,retrospot bag
2187,C570203,85099b,jumbo bag red retrospot,-1.0,2011-10-07 16:49:00,1.79,15311.0,United Kingdom,10,7,16,-1.79,118,1206.0,bag,retrospot,retrospot bag
2204,C546645,22171,3 hook photo shelf antique white,-12.0,2011-03-15 13:32:00,7.65,15311.0,United Kingdom,3,15,13,-91.80000000000001,118,41.0,hook,photo,photo hook
2205,C550494,22171,3 hook photo shelf antique white,-1.0,2011-04-18 14:54:00,7.65,15311.0,United Kingdom,4,18,14,-7.65,118,41.0,hook,photo,photo hook
2212,C548851,82483,wood 2 drawer cabinet white finish,-1.0,2011-04-04 13:14:00,5.95,15311.0,United Kingdom,4,4,13,-5.95,118,35.0,wood,drawer,drawer wood
2214,C548857,82483,wood 2 drawer cabinet white finish,-1.0,2011-04-04 13:28:00,5.95,15311.0,United Kingdom,4,4,13,-5.95,118,35.0,wood,drawer,drawer wood
2216,C557224,82483,wood 2 drawer cabinet white finish,-2.0,2011-06-17 13:22:00,5.95,15311.0,United Kingdom,6,17,13,-11.9,118,35.0,wood,drawer,drawer wood
2217,C558444,82483,wood 2 drawer cabinet white finish,-1.0,2011-06-29 13:29:00,5.95,15311.0,United Kingdom,6,29,13,-5.95,118,35.0,wood,drawer,drawer wood
2218,C562097,82483,wood 2 drawer cabinet white finish,-1.0,2011-08-02 13:19:00,5.95,15311.0,United Kingdom,8,2,13,-5.95,118,35.0,wood,drawer,drawer wood
2252,C562097,22384,lunch bag pink polkadot,-1.0,2011-08-02 13:19:00,1.45,15311.0,United Kingdom,8,2,13,-1.45,118,204.0,bag,polkadot,polkadot bag
2351,C553687,22241,garland wooden happy easter,-1.0,2011-05-18 14:01:00,1.06,15311.0,United Kingdom,5,18,14,-1.06,118,194.0,garland,easter,easter garland
2375,C550494,75049l,large circular mirror mobile,-7.0,2011-04-18 14:54:00,0.85,15311.0,United Kingdom,4,18,14,-5.95,118,647.0,mirror,mobile,mobile mirror
2377,C553687,75049l,large circular mirror mobile,-3.0,2011-05-18 14:01:00,0.85,15311.0,United Kingdom,5,18,14,-2.55,118,647.0,mirror,mobile,mobile mirror
2379,C557224,75049l,large circular mirror mobile,-5.0,2011-06-17 13:22:00,0.85,15311.0,United Kingdom,6,17,13,-4.25,118,647.0,mirror,mobile,mobile mirror
2380,C558444,75049l,large circular mirror mobile,-4.0,2011-06-29 13:29:00,0.85,15311.0,United Kingdom,6,29,13,-3.4,118,647.0,mirror,mobile,mobile mirror
2382,C562097,75049l,large circular mirror mobile,-3.0,2011-08-02 13:19:00,0.85,15311.0,United Kingdom,8,2,13,-2.55,118,647.0,mirror,mobile,mobile mirror
2384,C565305,75049l,large circular mirror mobile,-2.0,2011-09-02 12:18:00,0.85,15311.0,United Kingdom,9,2,12,-1.7,118,647.0,mirror,mobile,mobile mirror
2386,C576561,75049l,large circular mirror mobile,-3.0,2011-11-15 13:22:00,0.85,15311.0,United Kingdom,11,15,13,-2.55,118,647.0,mirror,mobile,mobile mirror
2462,C563258,20727,lunch bag  black skull,-1.0,2011-08-15 12:08:00,1.45,15311.0,United Kingdom,8,15,12,-1.45,118,508.0,bag,skull,skull bag
2470,C563258,20728,lunch bag cars blue,-1.0,2011-08-15 12:08:00,1.45,15311.0,United Kingdom,8,15,12,-1.45,118,304.0,bag,lunch,lunch bag
2483,C562097,20724,red retrospot charlotte bag,-1.0,2011-08-02 13:19:00,0.72,15311.0,United Kingdom,8,2,13,-0.72,118,212.0,bag,retrospot,retrospot bag
2514,C550494,82001s,vinyl record frame silver,-1.0,2011-04-18 14:54:00,3.39,15311.0,United Kingdom,4,18,14,-3.39,118,192.0,silver,frame,frame silver
2553,C549544,21035,set2 red retrospot tea towels,-100.0,2011-04-10 11:15:00,2.75,15311.0,United Kingdom,4,10,11,-275.0,118,9.0,retrospot,tea,tea retrospot
2570,C570203,20713,jumbo bag owls,-2.0,2011-10-07 16:49:00,1.79,15311.0,United Kingdom,10,7,16,-3.58,118,401.0,bag,other,other bag
2611,C570203,85099c,jumbo  bag baroque black white,-2.0,2011-10-07 16:49:00,1.79,15311.0,United Kingdom,10,7,16,-3.58,118,706.0,bag,baroque,baroque bag
2617,C563258,22061,large cake stand  hanging strawbery,-2.0,2011-08-15 12:08:00,8.5,15311.0,United Kingdom,8,15,12,-17.0,118,10.0,cake,stand,stand cake
